All battles within the game

ROXANNE												
Rhyhorn @ Rindo Berry		Wooper-Paldea @ Oran Berry		Gligar @ Oran Berry		Nosepass @ Berry Juice						
IVs: 30 Spe		- Air Slash		- Shock Wave		- Bug Buzz		- Thunder Fang		.baseDefense = 79		
- Parabolic Charge		- Electroweb		- Mirror Shot		- Air Slash		- Bite		.baseSpAttack = 110		
- Volt Switch		- Volt Switch		- Volt Switch		- Energy Ball		- Psychic Fangs		.baseSpDefense = 79		
- Draining Kiss		- Roost		- Tri Attack		- Charge Beam		- Ice Fang		.baseSpeed = 130		
- Hidden Power Ice		EVs: 6 HP / 252 SpA / 252 Spe		EVs: 6 HP / 252 SpA / 252 Spe		EVs: 6 HP / 252 SpA / 252 Spe		EVs: 6 HP / 252 Atk / 252 Spe				
EVs: 6 HP / 252 SpA / 252 Spe												
												
												
FLANNERY												
Ninetales @ Heat Rock		Walking Wake @ Choice Scarf		Scovillain @ Life Orb		Rotom-Heat @ Leftovers		Torkoal @ White Herb		Infernape	-mega @ Infernapite	
Level: 47		Level: 47		Level: 47		Level: 47		Level: 47		Level: 47		
Timid Nature		Timid Nature		Modest Nature		Bold Nature		Quiet Nature		Adamant Nature		.baseHP = 76
Ability: Drought		Ability: Protosynthesis	-> SpAtk	Ability: Chlorophyll		Ability: Levitate		Ability: Drought		Ability: Blaze	Ability: Adaptability	.baseAttack = 137
- Flamethrower		- Hydro Steam		- Giga Drain		- Thunderbolt		- Overheat		- Flare Blitz		.baseDefense = 71
- Energy Ball		- Flamethrower		- Flamethrower		- Will-O-Wisp		- Earth Power		- Close Combat		.baseSpAttack = 137
- Roar		- Dragon Pulse		- Scorching Sands		- Overheat		- Solar Beam		- Mach Punch		.baseSpDefense = 71
- Scorching Sands		- Hidden Power Poison		- Sunny Day		- Pain Split		- Explosion		- Thunder Punch		.baseSpeed = 142
EVs: 6 HP / 252 SpA / 252 Spe		EVs: 6 HP / 252 SpA / 252 Spe		EVs: 6 HP / 252 SpA / 252 Spe		EVs: 252 Def / 252 SpA / 6 SpD		EVs: 252 HP / 6 Atk / 252 SpA		EVs: 6 HP / 252 Atk / 252 Spe		
												
												
NORMAN												
Zoroark-Hisui @ Focus Sash		Iron Valiant @ Booster Energy		Ursaluna-Bloodmoon @ Expert Belt		Cyclizar @ Sitrus Berry		Slaking 	-mega @ Slakite			Obstagoon @ Flame Orb
Level: 59		Level: 59		Level: 59		Level: 59		Level: 59				Level: 59
Timid Nature		Jolly Nature		Modest Nature		Jolly Nature		Jolly Nature		.baseHP = 150,		Jolly Nature
Ability: Illusion		Ability: Quark Drive		Ability: Mind's Eye		Ability: Regenerator		Ability: Truant	Ability: Comatose	.baseAttack = 160,		Ability: Guts
- Bitter Malice		- Close Combat		IVs: 30 Atk / 30 Def		- Shed Tail		- Return		.baseDefense = 110,		- Facade
- Aura Sphere		- Spirit Break		- Earth Power		- Aqua Tail		- Play Rough		.baseSpAttack = 60,		- Knock Off
- Hyper Voice		- Bulk Up		- Blood Moon		- Dragon Claw		- Power-Up Punch		.baseSpDefense = 110,		- Brick Break
- Sludge Bomb		- Knock Off		- Hyper Voice		- Return		- Earthquake		.baseSpeed = 110		- Obstruct
EVs: 6 HP / 252 SpA / 252 Spe		EVs: 6 HP / 252 Atk / 252 Spe		- Hidden Power Ice		EVs: 6 HP / 252 Atk / 252 Spe		EVs: 6 HP / 252 Atk / 252 Spe				EVs: 6 HP / 252 Atk / 252 Spe
				EVs: 6 HP / 252 SpA / 252 Spe								
												
WINONA												
Staraptor @ Choice Band		Aggron @ Assault Vest		Flygon @ Life Orb		Frosmoth @ Heavy-Duty Boots		Thundurus-Therian @ Focus Sash		Altaria-Mega @ Altarianite		
Level: 68		Level: 68		Level: 68		Level: 68		Level: 68		Level: 68		
Jolly Nature		Adamant Nature		Naive Nature		Timid Nature		Timid Nature		Jolly Nature		
Ability: Intimidate		Ability: Rock Head		Ability: Tinted Lens		Ability: Ice Scales		Ability: Volt Absorb		Ability: Pixilate		
- U-turn		- Head Smash		- Headlong Rush		- Ice Beam		IVs: 30 SpA / 30 SpD / 30 Spe		- Earthquake		
- Double-Edge		- Heavy Slam		- Draco Meteor		- Giga Drain		- Thunderbolt		- Dragon Claw		
- Brave Bird		- Fire Punch		- Dual Wingbeat		- Bug Buzz		- Grass Knot		- Return		
- Close Combat		- Body Press		- Rock Slide		- Quiver Dance		- Sludge Wave		- Dragon Dance		
EVs: 6 HP / 252 Atk / 252 Spe		EVs: 6 HP / 252 Atk / 252 Def		EVs: 252 Atk / 6 SpA / 252 Spe		EVs: 6 HP / 252 SpA / 252 Spe		- Hidden Power Flying		EVs: 6 HP / 252 Atk / 252 Spe		
								EVs: 6 HP / 252 SpA / 252 Spe				
												
TATE		DOUBLE BATTLE		DOUBLE BATTLE		LIZA						
Tapu Lele @ Terrain Extender		Espathra @ Focus Sash		Kangaskhan @ Kangaskhanite		Iron Leaves @ Choice Scarf		Farigiraf @ Assault Vest		Alakazam-Mega @ Alakazite		
Level: 76		Level: 76		Level: 76		Level: 76		Level: 76		Level: 76		
Timid Nature		Timid Nature		Jolly Nature		Jolly Nature		Modest Nature		Timid Nature		
Ability: Psychic Surge		Ability: Speed Boost		Ability: Parental Bond		Ability: Sharpness		Ability: Parental Bond		Ability: Trace		
- Moonblast		IVs: 30 Def / 30 SpA / 30 SpD / 30 Spe		- Power-Up Punch		- Leaf Blade		- Expanding Force		- Expanding Force		
- Psychic		- Lumina Crash		- Body Slam		- Psyblade		- Hyper Voice		- Psyshock		
- Thunderbolt		- Air Slash		- Crunch		- Sacred Sword		- Dazzling Gleam		- Focus Blast		
- Calm Mind		- Flash Cannon		- Brick Break		- Night Slash		- Psychic		- Shadow Ball		
EVs: 6 HP / 252 SpA / 252 Spe		- Hidden Power Fighting		EVs: 6 HP / 252 Atk / 252 Spe		EVs: 6 HP / 252 Atk / 252 Spe		EVs: 6 HP / 252 SpA / 252 Spe		EVs: 6 HP / 252 SpA / 252 Spe		
		EVs: 6 HP / 252 SpA / 252 Spe										
												
JUAN												
Tapu Fini @ Terrain Extender		Tinkaton @ Shuca Berry		Rapidash-Galar @ Life Orb		Ursaluna @ Assault Vest		Flutter Mane @ Choice Specs		Diancie-Mega @ Diancite		
Level: 82		Level: 82		Level: 82		Level: 82		Level: 82		Level: 82		
Timid Nature		Jolly Nature		Jolly Nature		Adamant Nature		Timid Nature		Timid Nature		
Ability: Misty Surge		Ability: Own Tempo		Ability: Flash Fire		Ability: Bulletproof		Ability: Protosynthesis		Ability: Magic Bounce		
- Moonblast		- Gigaton Hammer		- Flare Blitz		- Return		- Energy Ball		- Moonblast		
- Ice Beam		- Play Rough		- Play Rough		- Close Combat		- Shadow Ball		- Diamond Storm		
- Surf		- Stone Edge		- Wild Charge		- Headlong Rush		- Moonblast		- Earth Power		
- Flip Turn		- Brick Break		- Swords Dance		- Play Rough		- Psyshock		- Calm Mind		
EVs: 6 HP / 252 SpA / 252 Spe		EVs: 6 HP / 252 Atk / 252 Spe		EVs: 6 HP / 252 Atk / 252 Spe		EVs: 6 HP / 252 Atk / 252 Spe		EVs: 6 HP / 252 SpA / 252 Spe		EVs: 6 HP / 252 SpA / 252 Spe		

MAY/BRENDAN with Treecko	Route 103											
Treecko	these are the only "boss battles" that are randomized											
Level: 5												
												
												
MAY/BRENDAN with Torchic	Route 103											
Torchic												
Level: 5												
												
												
MAY/BRENDAN with Mudkip	Route 103											
Mudkip												
Level: 5												
												
												
DAWN	Route 104											
Buneary @ Oran Berry		Noibat @ Oran Berry		Piplup @ Oran Berry								
Player's Highest Lv -3		Player's Highest Lv -2		Player's Highest Lv -1								
Adamant Nature		Timid Nature		Serious Nature								
Ability: Limber		Ability: Infiltrator		Ability: Torrent								
- Fake Out		- Gust		- Bubble Beam								
- Quick Attack		- Absorb		- Aqua Jet								
- Mach Punch		- Twister		- Baby-Doll Eyes								
				- Peck								
												
												
MAY/BRENDAN with Treecko	Rustboro City											
Golbat @ Muscle Band		Hattrem @ Wise Glasses		Kubfu @ Muscle Band		Grovyle @ Sitrus Berry						
Player's Highest Lv -2		Player's Highest Lv -2		Player's Highest Lv -2		Player's Highest Lv -1						
Jolly Nature		Modest Nature		Adamant Nature		Adamant Nature						
Ability: Sniper		Ability: Magic Bounce		Ability: Inner Focus		Ability: Overgrow						
- Wing Attack		- Draining Kiss		- Rock Smash		- Bullet Seed						
- Cross Poison		- Psybeam		- Aerial Ace		- Rock Tomb						
- Bite		- Thunder Wave		- Headbutt		- Fury Cutter						
- U-turn		- Life Dew		- Rock Tomb		- Assurance						
												
												
												
MAY/BRENDAN with Torchic	Rustboro City											
Golbat @ Muscle Band		Hattrem @ Wise Glasses		Kubfu @ Muscle Band		Combusken @ Sitrus Berry						
Player's Highest Lv -2		Player's Highest Lv -2		Player's Highest Lv -2		Player's Highest Lv -1						
Jolly Nature		Modest Nature		Adamant Nature		Adamant Nature						
Ability: Sniper		Ability: Magic Bounce		Ability: Inner Focus		Ability: Striker						
- Wing Attack		- Draining Kiss		- Rock Smash		- Double Kick						
- Cross Poison		- Psybeam		- Aerial Ace		- Rock Tomb						
- Bite		- Thunder Wave		- Headbutt		- Flame Charge						
- U-turn		- Life Dew		- Thunder Punch		- Thunder Punch						
												
												
												
MAY/BRENDAN with Mudkip	Rustboro City											
Golbat @ Muscle Band		Hattrem @ Wise Glasses		Kubfu @ Muscle Band		Marshtomp @ Sitrus Berry						
Player's Highest Lv -2		Player's Highest Lv -2		Player's Highest Lv -2		Player's Highest Lv -1						
Jolly Nature		Modest Nature		Adamant Nature		Quiet Nature						
Ability: Sniper		Ability: Magic Bounce		Ability: Inner Focus		Ability: Torrent						
- Wing Attack		- Draining Kiss		- Rock Smash		- Water Pulse						
- Cross Poison		- Psybeam		- Aerial Ace		- Rock Tomb						
- Bite		- Thunder Wave		- Headbutt		- Mud Shot						
- U-turn		- Life Dew		- Fire Punch		- Ice Punch						
												
												
												
MAY/BRENDAN with Treecko	Route 110											
Crobat @ Muscle Band		Dragonair @ Eviolite		Gorebyss @ Sitrus Berry		Kubfu @ Punching Glove		Grovyle @ Focus Sash				
Player's Highest Lv -1		Player's Highest Lv -1		Player's Highest Lv -1		Player's Highest Lv -2		Player's Highest Lv				
Jolly Nature		Impish Nature		Modest Nature		Adamant Nature		Jolly Nature				
Ability: Sniper		Ability: Shed Skin		Ability: Dazzling		Ability: Inner Focus		Ability: Overgrow				
- Dual Wingbeat		- Dragon Tail		- Aurora Beam		- Drain Punch		- Leaf Blade				
- Cross Poison		- Dragon Rage		- Water Pulse		- Fire Punch		- Rock Slide				
- Bite		- Body Slam		- Draining Kiss		- Thunder Punch		- Power-Up Punch				
- U-turn		- Thunder Wave		- Psychic		- Ice Punch		- Low Sweep				
								EVs: 80 Spe				
												
												
MAY/BRENDAN with Torchic	Route 110											
Crobat @ Muscle Band		Metang @ Eviolite		Whimsicott @ Sitrus Berry		Kubfu @ Punching Glove		Combusken @ Focus Sash				
Player's Highest Lv -1		Player's Highest Lv -1		Player's Highest Lv -1		Player's Highest Lv -2		Player's Highest Lv				
Jolly Nature		Impish Nature		Timid Nature		Adamant Nature		Modest Nature				
Ability: Sniper		Ability: Tough Claws		Ability: Prankster		Ability: Inner Focus		Ability: Blaze				
- Dual Wingbeat		- Metal Claw		- Giga Drain		- Drain Punch		- Flame Burst				
- Cross Poison		- Bullet Punch		- Stun Spore		- Fire Punch		- Scorching Sands				
- Bite		- Zen Headbutt		- Leech Seed		- Thunder Punch		- Quick Attack				
- U-turn		- Bulldoze		- Dazzling Gleam		- Ice Punch		- Counter				
								EVs: 80 Spe				
												
												
MAY/BRENDAN with Mudkip	Route 110											
Crobat @ Muscle Band		Sliggoo-Hisui @ Eviolite		Rapidash-Galar @ Sitrus Berry		Kubfu @ Punching Glove		Marshtomp @ Focus Sash				
Player's Highest Lv -1		Player's Highest Lv -1		Player's Highest Lv -1		Player's Highest Lv -2		Player's Highest Lv				
Jolly Nature		Calm Nature		Jolly Nature		Adamant Nature		Brave Nature				
Ability: Sniper		Ability: Sap Sipper		Ability: Immunity		Ability: Inner Focus		Ability: Torrent				
- Dual Wingbeat		- Dragon Breath		- Flame Wheel		- Drain Punch		- Bulldoze				
- Cross Poison		- Flash Cannon		- Will-O-Wisp		- Fire Punch		- Rock Slide				
- Bite		- Water Pulse		- Covet		- Thunder Punch		- Liquidation				
- U-turn		- Life Dew		- Quick Attack		- Ice Punch		- Flip Turn				
								EVs: 80 Atk				
												
												
WALLY	Mauville City											
Drednaw @ Sitrus Berry		Kricketune @ Sitrus Berry		Skarmory @ Sitrus Berry		Gardevoir @ Wise Glasses						
Level: 30		Level: 30		Level: 31		Level: 32						
Adamant Nature		Jolly Nature		Impish Nature		Timid Nature						
Ability: Strong Jaw		Ability: Technician		Ability: Sturdy		Ability: Trace						
- Crunch		- Bug Bite		- Steel Wing		- Draining Kiss						
- Razor Shell		- Bulldoze		- Drill Peck		- Psychic Noise						
- Rock Tomb		- Aerial Ace		- Roost		- Magical Leaf						
- Brick Break		- Rock Smash		- Toxic		- Shadow Ball						
						EVs: 80 SpA						
												
												
DAWN	Route 111											
Lopunny @ Silk Scarf		Noivern @ Expert Belt		Tsareena @ Miracle Seed		Chandelure @ Charcoal		Empoleon 	-mega @ Empoleonite D			
Player's Highest Lv -2		Player's Highest Lv -2		Player's Highest Lv -2		Player's Highest Lv -2		Player's Highest Lv -1				
Jolly Nature		Timid Nature		Jolly Nature		Timid Nature		Bold Nature		.baseHP = 140		
Ability: Limber		Ability: Infiltrator		Ability: Striker		Ability: Flash Fire		Ability: Torrent	Ability: Lightning Rod	.baseAttack = 75		
- Fake Out		- Aeroblast		- Trop Kick		- Flamethrower		- Surf		.baseDefense = 145		
- Return		- Dragon Pulse		- Triple Axel		- Shadow Ball		- Flash Cannon		.baseSpAttack = 75		
- Thunder Punch		- Boomburst		- High Jump Kick		- Psychic		- Toxic		.baseSpDefense = 145		
- Drain Punch		- Dark Pulse		- Play Rough		- Will-O-Wisp		- Roost		.baseSpeed = 50		
EVs: 6 HP / 252 Atk / 252 Spe		EVs: 6 HP / 252 SpA / 252 Spe		EVs: 6 HP / 252 Atk / 252 Spe		EVs: 6 HP / 252 SpA / 252 Spe		EVs: 252 HP / 252 Def / 6 SpA				
												
												
WALLY	Route 110	after Flannery										
Sneasler @ Focus Sash		Galvantula @ Expert Belt		Corviknight @ Rocky Helmet		Darmanitan @ Life Orb		Wishiwashi-School @ Assault Vest		Gardevoir @ Gardevoirite		
Player's Highest Lv -1		Player's Highest Lv -1		Player's Highest Lv -1		Player's Highest Lv -1		Player's Highest Lv -1		Player's Highest Lv		
Jolly Nature		Timid Nature		Impish Nature		Jolly Nature		Quiet Nature		Timid Nature		
Ability: Unburden		Ability: Compound Eyes		Ability: Unnerve		Ability: Sheer Force		Ability: Schooling		Ability: Pixilate		
- Taunt		- Bug Buzz		- Body Press		- Flare Blitz		IVs: 30 Atk / 30 SpA		- Moonblast		
- Dire Claw		- Thunder		- Drill Peck		- Rock Slide		- Hydro Pump		- Psychic		
- Close Combat		- Giga Drain		- Iron Head		- Superpower		- Ice Beam		- Focus Blast		
- Knock Off		- Volt Switch		- Roost		- Earthquake		- Hidden Power Grass		- Thunderbolt		
EVs: 6 HP / 252 Atk / 252 Spe		EVs: 6 HP / 252 SpA / 252 Spe		EVs: 252 HP / 6 Atk / 252 Def		EVs: 6 HP / 252 Atk / 252 Spe		- Flip Turn		EVs: 6 HP / 252 SpA / 252 Spe		
								EVs: 252 HP / 6 Atk / 252 SpA				
												
MAY/BRENDAN with Treecko	Route 119											
Crobat @ Scope Lens		Dragonite @ Lum Berry		Gorebyss @ White Herb		Urshifu @ Expert Belt		Armarouge @ Life Orb		Sceptile-Mega @ Sceptilite		
Level: 64		Level: 64		Level: 64		Level: 64		Level: 64		Level: 64		
Jolly Nature		Jolly Nature		Modest Nature		Jolly Nature		Modest Nature		Jolly Nature		
Ability: Sniper		Ability: Multiscale		Ability: Dazzling		Ability: Unseen Fist		Ability: Mega Launcher		Ability: Technician		
- Brave Bird		- Dual Wingbeat		- Ice Beam		- Drain Punch		- Armor Cannon		- Dual Chop		
- Cross Poison		- Dragon Claw		- Surf		- Sucker Punch		- Aura Sphere		- Bullet Seed		
- Haze		- Iron Head		- Moonblast		- Wicked Blow		- Psychic		- Earthquake		
- U-turn		- Dragon Dance		- Shell Smash		- Ice Punch		- Shadow Ball		- Swords Dance		
EVs: 6 HP / 252 Atk / 252 Spe		EVs: 6 HP / 252 Atk / 252 Spe		EVs: 6 HP / 252 SpA / 252 Spe		EVs: 6 HP / 252 Atk / 252 Spe		EVs: 6 HP / 252 SpA / 252 Spe		EVs: 6 HP / 252 Atk / 252 Spe		
												
												
MAY/BRENDAN with Torchic	Route 119											
Crobat @ Scope Lens		Metagross @ Air Balloon		Whimsicott @ Leftovers		Urshifu @ Expert Belt		Basculegion-F @ Life Orb		Blaziken-Mega @ Blazikenite		
Level: 64		Level: 64		Level: 64		Level: 64		Level: 64		Level: 64		
Jolly Nature		Adamant Nature		Timid Nature		Jolly Nature		Modest Nature		Jolly Nature		
Ability: Sniper		Ability: Tough Claws		Ability: Prankster		Ability: Unseen Fist		Ability: Adaptability		Ability: Striker		
- Brave Bird		- Meteor Mash		- Giga Drain		- Drain Punch		- Scald		- Thunderous Kick		
- Cross Poison		- Earthquake		- Moonblast		- Sucker Punch		- Ice Beam		- Blaze Kick		
- Haze		- Zen Headbutt		- Leech Seed		- Wicked Blow		- Psychic		- Thunder Punch		
- U-turn		- Bullet Punch		- Stun Spore		- Ice Punch		- Shadow Ball		- Bulk Up		
EVs: 6 HP / 252 Atk / 252 Spe		EVs: 6 HP / 252 Atk / 252 Spe		EVs: 6 HP / 252 SpA / 252 Spe		EVs: 6 HP / 252 Atk / 252 Spe		EVs: 6 HP / 252 SpA / 252 Spe		EVs: 6 HP / 252 Atk / 252 Spe		
												
												
MAY/BRENDAN with Mudkip	Route 119											
Crobat @ Scope Lens		Goodra-Hisui @ Leftovers		Rapidash-Galar @ Air Balloon		Urshifu @ Expert Belt		Electrode-Hisui @ Life Orb		Swampert-Mega @ Swampertite		
Level: 64		Level: 64		Level: 64		Level: 64		Level: 64		Level: 64		
Jolly Nature		Calm Nature		Jolly Nature		Jolly Nature		Modest Nature		Adamant Nature		
Ability: Sniper		Ability: Sap Sipper		Ability: Flash Fire		Ability: Unseen Fist		Ability: Reckless		Ability: Swift Swim		
- Brave Bird		- Dragon Pulse		- Fire Lash		- Drain Punch		IVs: 30 Atk / 30 Def		- Liquidation		
- Cross Poison		- Wish		- Will-O-Wisp		- Sucker Punch		- Thunderbolt		- Earthquake		
- Haze		- Flash Cannon		- Play Rough		- Wicked Blow		- Chloroblast		- Power-Up Punch		
- U-turn		- Toxic		- Wild Charge		- Ice Punch		- Volt Switch		- Avalanche		
EVs: 6 HP / 252 Atk / 252 Spe		EVs: 252 HP / 6 SpA / 252 SpD		EVs: 6 HP / 252 Atk / 252 Spe		EVs: 6 HP / 252 Atk / 252 Spe		- Flash Cannon		EVs: 6 HP / 252 Atk / 252 Spe		
								EVs: 6 HP / 252 SpA / 252 Spe				
												
DAWN	Lilycove City											
Lopunny @ Life Orb		Noivern @ Choice Specs		Meowscarada @ Expert Belt		Chandelure @ Charcoal		Iron Boulder @ Booster Energy		Empoleon 	-mega @ Empoleonite D	
Level: 71		Level: 71		Level: 71		Level: 71		Level: 71		Level: 71		
Jolly Nature		Timid Nature		Jolly Nature		Timid Nature		Jolly Nature		Bold Nature		.baseHP = 140
Ability: Limber		Ability: Infiltrator		Ability: Protean		Ability: Flash Fire		Ability: Quark Drive		Ability: Torrent	Ability: Lightning Rod	.baseAttack = 75
- Fake Out		- Aeroblast		- Knock Off		- Flamethrower		- Sacred Sword		- Surf		.baseDefense = 145
- Return		- Dragon Pulse		- Flower Trick		- Shadow Ball		- Mighty Cleave		- Flash Cannon		.baseSpAttack = 75
- Thunder Punch		- Boomburst		- Play Rough		- Psychic		- Psycho Cut		- Toxic		.baseSpDefense = 145
- Close Combat		- Dark Pulse		- U-turn		- Will-O-Wisp		- Megahorn		- Roost		.baseSpeed = 50
EVs: 6 HP / 252 Atk / 252 Spe		EVs: 6 HP / 252 SpA / 252 Spe		EVs: 6 HP / 252 Atk / 252 Spe		EVs: 6 HP / 252 SpA / 252 Spe		EVs: 6 HP / 252 Atk / 252 Spe		EVs: 252 HP / 252 Def / 6 SpA		
												
												
DAWN	Evergrande City											
Pheromosa @ Focus Sash		Noivern @ Choice Specs		Meowscarada @ Expert Belt		Blacephalon @ Life Orb		Iron Boulder @ Booster Energy		Empoleon 	-mega @ Empoleonite D	
Level: 84		Level: 84		Level: 84		Level: 84		Level: 84		Level: 84		
Jolly Nature		Timid Nature		Jolly Nature		Timid Nature		Jolly Nature		Bold Nature		.baseHP = 140
Ability: Beast Boost		Ability: Infiltrator		Ability: Protean		Ability: Beast Boost		Ability: Quark Drive		Ability: Torrent	Ability: Lightning Rod	.baseAttack = 75
- U-turn		- Aeroblast		- Knock Off		- Flamethrower		- Sacred Sword		- Surf		.baseDefense = 145
- Triple Kick		- Draco Meteor		- Flower Trick		- Shadow Ball		- Mighty Cleave		- Flash Cannon		.baseSpAttack = 75
- Triple Axel		- Boomburst		- Play Rough		- Psychic		- Psycho Cut		- Toxic		.baseSpDefense = 145
- Poison Jab		- Dark Pulse		- Triple Axel		- Mind Blown		- Megahorn		- Roost		.baseSpeed = 50
EVs: 6 HP / 252 Atk / 252 Spe		EVs: 6 HP / 252 SpA / 252 Spe		EVs: 6 HP / 252 Atk / 252 Spe		EVs: 6 HP / 252 SpA / 252 Spe		EVs: 6 HP / 252 Atk / 252 Spe		EVs: 252 HP / 252 Def / 6 SpA		
												
												
MAY/BRENDAN with Treecko	Evergrande City											
Crobat @ Scope Lens		Dragonite @ Lum Berry		Tapu Fini @ Misty Seed		Urshifu @ Expert Belt		Volcarona @ Heavy-Duty Boots		Sceptile-Mega @ Sceptilite		
Level: 84		Level: 84		Level: 84		Level: 84		Level: 84		Level: 84		
Jolly Nature		Jolly Nature		Timid Nature		Jolly Nature		Timid Nature		Jolly Nature		
Ability: Sniper		Ability: Multiscale		Ability: Misty Surge		Ability: Unseen Fist		Ability: Flame Body		Ability: Technician		
- Brave Bird		- Dual Wingbeat		- Ice Beam		- Close Combat		- Fiery Dance		- Dual Chop		
- Cross Poison		- Dragon Claw		- Hydro Pump		- Sucker Punch		- Bug Buzz		- Bullet Seed		
- Leech Life		- Iron Head		- Moonblast		- Wicked Blow		- Quiver Dance		- Earthquake		
- U-turn		- Dragon Dance		- Grass Knot		- Ice Punch		- Giga Drain		- Swords Dance		
EVs: 6 HP / 252 Atk / 252 Spe		EVs: 6 HP / 252 Atk / 252 Spe		EVs: 6 HP / 252 SpA / 252 Spe		EVs: 6 HP / 252 Atk / 252 Spe		EVs: 6 HP / 252 SpA / 252 Spe		EVs: 6 HP / 252 Atk / 252 Spe		
												
												
MAY/BRENDAN with Torchic	Evergrande City											
Crobat @ Scope Lens		Metagross @ Air Balloon		Tapu Bulu @ Grassy Seed		Urshifu @ Expert Belt		Milotic @ Leftovers		Blaziken-Mega @ Blazikenite		
Level: 84		Level: 84		Level: 84		Level: 84		Level: 84		Level: 84		
Jolly Nature		Adamant Nature		Jolly Nature		Jolly Nature		Bold Nature		Jolly Nature		
Ability: Sniper		Ability: Tough Claws		Ability: Grassy Surge		Ability: Unseen Fist		Ability: Competitive		Ability: Striker		
- Brave Bird		- Meteor Mash		- Wood Hammer		- Close Combat		- Bouncy Bubble		- Thunderous Kick		
- Cross Poison		- Earthquake		- Play Rough		- Sucker Punch		- Ice Beam		- Blaze Kick		
- Leech Life		- Zen Headbutt		- Superpower		- Wicked Blow		- Recover		- Thunder Punch		
- U-turn		- Bullet Punch		- Zen Headbutt		- Ice Punch		- Toxic		- Bulk Up		
EVs: 6 HP / 252 Atk / 252 Spe		EVs: 6 HP / 252 Atk / 252 Spe		EVs: 6 HP / 252 Atk / 252 Spe		EVs: 6 HP / 252 Atk / 252 Spe		EVs: 252 HP / 252 Def / 6 SpA		EVs: 6 HP / 252 Atk / 252 Spe		
												
												
MAY/BRENDAN with Mudkip	Evergrande City											
Crobat @ Scope Lens		Goodra-Hisui @ Leftovers		Tapu Koko @ Electric Seed		Urshifu @ Expert Belt		Ogerpon-Hearthflame @ Hearthflame Mask		Swampert-Mega @ Swampertite		
Level: 84		Level: 84		Level: 84		Level: 84		Level: 84		Level: 84		
Jolly Nature		Calm Nature		Jolly Nature		Jolly Nature		Jolly Nature		Adamant Nature		
Ability: Sniper		Ability: Sap Sipper		Ability: Electric Surge		Ability: Unseen Fist		Ability: Mold Breaker		Ability: Swift Swim		
- Brave Bird		- Dragon Pulse		- Supercell Slam		- Close Combat		- Ivy Cudgel		- Liquidation		
- Cross Poison		- Wish		- Return		- Sucker Punch		- Wood Hammer		- Earthquake		
- Leech Life		- Flash Cannon		- Play Rough		- Wicked Blow		- Throat Chop		- Power-Up Punch		
- U-turn		- Toxic		- Roost		- Ice Punch		- Swords Dance		- Avalanche		
EVs: 6 HP / 252 Atk / 252 Spe		EVs: 252 HP / 6 SpA / 252 SpD		EVs: 6 HP / 252 Atk / 252 Spe		EVs: 6 HP / 252 Atk / 252 Spe		EVs: 6 HP / 252 Atk / 252 Spe		EVs: 6 HP / 252 Atk / 252 Spe		
												
												
WALLY	Victory Road	*before first VR mini boss										
Sneasler @ Focus Sash		Shaymin-Sky @ Yache Berry		Celesteela @ Power Herb		Darmanitan @ Life Orb		Raging Bolt @ Booster Energy		Gardevoir-Mega @ Gardevoirite		
Level: 84		Level: 84		Level: 84		Level: 84		Level: 84		Level: 84		
Jolly Nature		Timid Nature		Modest Nature		Jolly Nature		Timid Nature		Timid Nature		
